CÉ LA VI 台北,,110台灣台北市信義區松智路17號48樓,臺北市,信義區,25.0344948,121.5659255,"星期一: 休息,星期二: 12:00 – 02:30,星期三: 12:00 – 02:30,星期四: 12:00 – 02:30,星期五: 12:00 – 03:00,星期六: 12:00 – 03:00,星期日: 12:00 – 02:30",,0909 956 000,https://maps.google.com/?cid=2194442127452896565,1
Closet 衣櫥餐酒館,,106台灣台北市大安區忠孝東路四段101巷15號,臺北市,大安區,25.0425138,121.5481125,"星期一: 18:00 – 02:00,星期二: 18:00 – 02:00,星期三: 18:00 – 02:00,星期四: 18:00 – 02:00,星期五: 18:00 – 02:00,星期六: 18:00 – 02:00,星期日: 18:00 – 02:00",,02 2731 7919,https://maps.google.com/?cid=11317207201845607040,1
My Other Place Restaurant &Bar 我的家餐廳酒吧,,"1樓, No. 303號復興北路松山區台北市台灣 10544",臺北市,松山區,25.0582671,121.5444028,"星期一: 18:00 – 02:00,星期二: 18:00 – 02:00,星期三: 18:00 – 02:00,星期四: 18:00 – 02:00,星期五: 18:00 – 02:00,星期六: 18:00 – 02:00,星期日: 休息",,02 2718 7826,https://maps.google.com/?cid=3749543388255195163,1
君品酒店 - 頤宮中餐廳 Le Palais,,103台灣台北市大同區承德路一段3號17樓,臺北市,大同區,25.0491485,121.5168698,"星期一: 11:30 – 14:30, 17:30 – 21:30,星期二: 11:30 – 14:30, 17:30 – 21:30,星期三: 11:30 – 14:30, 17:30 – 21:30,星期四: 11:30 – 14:30, 17:30 – 21:30,星期五: 11:30 – 14:30, 17:30 – 21:30,星期六: 11:30 – 14:30, 17:30 – 21:30,星期日: 11:30 – 14:30, 17:30 – 21:30",,02 2181 9950#3261,https://maps.google.com/?cid=10409924790036712938,1
翡冷翠義式餐廳,,100台灣台北市中正區漢口街一段15號1樓,臺北市,中正區,25.0452935,121.514443,"星期一: 11:30 – 21:30,星期二: 11:30 – 21:30,星期三: 11:30 – 21:30,星期四: 11:30 – 21:30,星期五: 11:30 – 21:30,星期六: 11:30 – 21:30,星期日: 11:30 – 21:30",,02 2375 9977,https://maps.google.com/?cid=8107804549227587916,1
沾美藝術庭苑 Jimmy’s Garden,,"號 No. 5, 新生南路三段11巷大安區台北市台灣 106",臺北市,大安區,25.0254488,121.535536,"星期一: 11:30 – 15:00, 17:30 – 22:00,星期二: 11:30 – 15:00, 17:30 – 22:00,星期三: 11:30 – 15:00, 17:30 – 22:00,星期四: 11:30 – 15:00, 17:30 – 22:00,星期五: 11:30 – 15:00, 17:30 – 22:00,星期六: 11:30 – 15:00, 17:30 – 22:00,星期日: 11:30 – 15:00, 17:30 – 22:00",,02 2368 1297,https://maps.google.com/?cid=17726856780894382062,1
台北君悅酒店 ZIGA ZAGA,,110台灣台北市信義區松壽路2號,臺北市,信義區,25.0353371,121.5631414,"星期一: 休息,星期二: 11:30 – 14:00, 18:00 – 21:00,星期三: 11:30 – 14:00, 18:00 – 21:00,星期四: 11:30 – 14:00, 18:00 – 21:00,星期五: 11:30 – 14:00, 18:00 – 21:30,星期六: 11:30 – 14:00, 18:00 – 21:30,星期日: 11:30 – 14:00, 18:00 – 21:00",,02 2720 1230,https://maps.google.com/?cid=10291152521865769584,1
Longtail,,106台灣台北市大安區敦化南路二段174號,臺北市,大安區,25.0238973,121.5483442,"星期一: 18:00 – 00:00,星期二: 休息,星期三: 18:00 – 00:00,星期四: 18:00 – 00:00,星期五: 18:00 – 02:00,星期六: 18:00 – 02:00,星期日: 18:00 – 00:00",,02 2732 6616,https://maps.google.com/?cid=4814859082437415695,1
collective elements restaurant 健康餐廳/無國界料理/咖啡/下午茶/包場,,10491台灣台北市中山區中山北路二段96-1號,臺北市,中山區,25.0594478,121.5225437,"星期一: 11:30 – 18:00,星期二: 11:30 – 18:00,星期三: 11:30 – 18:00,星期四: 11:30 – 18:00,星期五: 11:30 – 18:00,星期六: 休息,星期日: 休息",,02 2563 5900,https://maps.google.com/?cid=16864938590891717479,1
JOYCE EAST,,110台灣台北市信義區信義路五段128號,臺北市,信義區,25.0324206,121.5692132,"星期一: 11:30 – 23:00,星期二: 11:30 – 23:00,星期三: 11:30 – 23:00,星期四: 11:30 – 23:00,星期五: 11:30 – 23:00,星期六: 11:30 – 23:00,星期日: 11:30 – 23:00",,02 8789 6128,https://maps.google.com/?cid=616489067123393819,1
